Study,Species common name,Species,Regne,Phyla,Classe,Ordre,Factor,Factor variation,Crossing/wild,Method,Type of h? (narrow / broad),comment,Which is stressful?,Stress (heat/acidity/drought/wet),trait,trait type (lht/morpho/physio/behav),error type,h? mild environment,se h? mild,range of CI mild,SE m,h? harsh environment,se h? harsh environment,range of CI harsh,SE h,error type,evolvability mild environment,se evolvability mild environment,evolvability harsh environment,se evolvability harsh environment,error type,Evol_Mild,Evol_Harsh,Va mild environment,se Va mild environment,Va harsh environment,se Va harsh environment,Vp mild,Vp harsh,mean mild,se mean mild,mean harsh,se mean harsh,ISSN,Publication Year,Volume,Issue,Start Page,End Page,Article Number,DOI,Early Access Date,UT (Unique WOS ID)
2,Branching coral,Acropora cervicornis,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,,acidity,acidity,dark calcification,Morphology,95% CI,0.06,"[0.006,0.18]",0.174,0.044387755,0.12,"[0.007,0.30]",0.293,0.074744898,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Branching coral,Acropora cervicornis,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,,heat,heat,dark calcification,Morphology,95% CI,0.06,"[0.006,0.18]",0.174,0.044387755,0.05,"[0.007,0.15]",0.143,0.036479592,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Branching coral,Acropora cervicornis,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,,acidity,acidity,photosynthesis/Respiration,Physiology,95% CI,0.05,"[0.005,0.18]",0.175,0.044642857,0.14,"[0.005,0.35]",0.345,0.088010204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Branching coral,Acropora cervicornis,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,,heat,heat,photosynthesis/Respiration,Physiology,95% CI,0.05,"[0.005,0.18]",0.175,0.044642857,0.1,"[0.008,0.27]",0.262,0.066836735,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Branching coral,Acropora cervicornis,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,,acidity,acidity,Symbiont density,Physiology,95% CI,0.034,"[0.001,0.13]",0.129,0.032908163,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Branching coral,Acropora cervicornis,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,,heat,heat,Symbiont density,Physiology,95% CI,0.034,"[0.001,0.13]",0.129,0.032908163,0.02,"[0.002,0.11]",0.108,0.02755102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Branching coral,Acropora cervicornis,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,,acidity,acidity,Protein concentration,Physiology,95% CI,0.14,"[0.01,0.45]",0.44,0.112244898,0.4,"[0.11,0.71]",0.6,0.153061224,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Branching coral,Acropora cervicornis,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,,heat,heat,Protein concentration,Physiology,95% CI,0.14,"[0.01,0.45]",0.44,0.112244898,0.07,"[0.01,0.29]",0.28,0.071428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Branching coral,Acropora cervicornis,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,,acidity,acidity,POX,Physiology,95% CI,0.05,"[0.006,0.17]",0.164,0.041836735,0.31,"[0.04,0.59]",0.55,0.140306122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Branching coral,Acropora cervicornis,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,,heat,heat,POX,Physiology,95% CI,0.05,"[0.006,0.17]",0.164,0.041836735,0.25,"[0.02,0.54]",0.52,0.132653061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Branching coral,Acropora cervicornis,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,,acidity,acidity,PPO,Physiology,95% CI,0.24,"[0.02,0.55]",0.53,0.135204082,0.26,"[0.02,0.54]",0.52,0.132653061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Branching coral,Acropora cervicornis,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,,heat,heat,PPO,Physiology,95% CI,0.24,"[0.02,0.55]",0.53,0.135204082,0.26,"[0.01,0.55]",0.54,0.137755102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Branching coral,Acropora cervicornis,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,,acidity,acidity,PO,Physiology,95% CI,0.25,"[0.04,0.50]",0.46,0.117346939,0.3,"[0.04,0.60]",0.56,0.142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Branching coral,Acropora cervicornis,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,,heat,heat,PO,Physiology,95% CI,0.25,"[0.04,0.50]",0.46,0.117346939,0.3,"[0.04,0.54]",0.5,0.12755102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Branching coral,Acropora cervicornis,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,,acidity,acidity,Yield,LHT,95% CI,0.21,"[0.03,0.44]",0.41,0.104591837,0.32,"[0.09,0.6]",0.51,0.130102041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Branching coral,Acropora cervicornis,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,,heat,heat,Yield,LHT,95% CI,0.21,"[0.03,0.44]",0.41,0.104591837,0.21,"[0.03,0.41]",0.38,0.096938776,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Branching coral,Acropora cervicornis,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,,acidity,acidity,ETR,Physiology,95% CI,0.06,"[0.007,0.23]",0.223,0.056887755,0.05,"[0.01,0.22]",0.21,0.053571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Branching coral,Acropora cervicornis,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,,heat,heat,ETR,Physiology,95% CI,0.06,"[0.007,0.23]",0.223,0.056887755,0.06,"[0.01,0.22]",0.21,0.053571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Branching coral,Acropora cervicornis,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,,acidity,acidity,chlorophyl,Physiology,95% CI,0.16,"[0,0.48]",0.48,0.12244898,0.09,"[0,0.35]",0.35,0.089285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Branching coral,Acropora cervicornis,Aniimalia,Cnidaria,Anthozoa,Scleractinia,temperature*acidity,Lab experiment,12 genotypes,Variance among genotypes (Broad sense heritability),broad sense,,heat,heat,chlorophyl,Physiology,95% CI,0.16,"[0,0.48]",0.48,0.12244898,0.19,"[0,0.50]",0.5,0.12755102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Atlantic salmon,Salmo salar,Aniimalia,Chordata,Actinopterygii,Salmoniformes,temperature,Lab experiment,Crossing in the lab,animal model,narrow sense,"Just took wild population optimal vs hot. Evolvabilities only given for Ctmax and hct in Sup mat, h? from PlotDigitizer. From text: we
identified differences only for condition and CTmax and only
between the cold and optimum regimes",heat,heat,Ctmax,Physiology,95% CI,0.48,"[0.15, 0.80]",0.65,0.165816327,0.38,"[0.09,0.66]",0.57,0.145408163,se,0.0000191,0.0000082,0.0000079,0.0000035,,0.0000191,0.0000079,,,,,,,,,,,0018-067X,2021,127,5,455,466,,10.1038/s41437-021-00469-y,21-Aug,WOS:000689525800001
3,Atlantic salmon,Salmo salar,Aniimalia,Chordata,Actinopterygii,Salmoniformes,temperature,Lab experiment,Crossing in the lab,animal model,narrow sense,,heat,heat,haematocrit,Physiology,95% CI,0.526,"[0.25,0.80]",0.55,0.140306122,0.7,"[0.38,1.02]",0.64,0.163265306,se,0.00242,0.00081,0.00284,0.00095,,0.00242,0.00284,,,,,,,,,,,,,,,,,,,,
4,Eastern oyster,Crassostrea virginica,Aniimalia,Mollusca,Bivalvia,Ostreida,salinity,Lab experiment,North Carolina II breeding design,animal model,narrow sense,increase rain decreases salinity,low salinity,low salinity,larval size,Morphology,95% CI,0.66,"[0.36,0.86]",0.5,0.12755102,0.68,"[0.39,0.89]",0.5,0.12755102,,,,,,95%CI,,,122.3,"[65.1, 180.1]",140.7,"[68.6,176]",,,,,,,0962-8452,2021,288,1951,,,20203118,10.1098/rspb.2020.3118,,WOS:000652670300009
5,partridge pea,Chamaecrista fasciculata,Plantae,Angiosperm,Eudicots,Fabales,rain,Field experiment,controlled crossing,animal model,narrow sense,same species Etterson ? Shaw,rain,wet,fitness (Aster based),LHT,,,,,NA,,,,NA,,,,,,se,0.767578006,0.361108379,252000,49000,155000,30000,,,654,,613,,0014-3820,2021,75,1,73,85,,10.1111/evo.14131,20-nov,WOS:000594083400001
5,partridge pea,Chamaecrista fasciculata,Plantae,Angiosperm,Eudicots,Fabales,rain,Field experiment,controlled crossing,animal model,narrow sense,,rain,wet,SLA,Morphology,se,0.023,NA,,NA,0.76,0.0035,,0.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Thale cress,Arabidopsis thaliana,Plantae,Angiosperm,Eudicots,Brassicales,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,Meta-analysis style as several species,heat,heat,Leaf length,Morphology,none,0.11,NA,,NA,0.27,NA,,NA,none,0,,0.01,,none,0,0.01,2.96,,21.3,,,,,,,,0018-067X,2021,126,1,23,37,,10.1038/s41437-020-0338-4,juil-20,WOS:000545912500001
6,Thale cress,Arabidopsis thaliana,Plantae,Angiosperm,Eudicots,Brassicales,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,Meta-analysis style as several species,heat,heat,Specific leaf area,Morphology,,0,,,NA,0.02,,,NA,none,0,,0,,none,0,0,0,,2.11,,,,,,,,,,,,,,,,,
6,Thale cress,Arabidopsis thaliana,Plantae,Angiosperm,Eudicots,Brassicales,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,Meta-analysis style as several species,heat,heat,Shoot length,Morphology,,0.42,,,NA,0.46,,,NA,none,0.01,,0.02,,none,0.01,0.02,7.85,,24.2,,,,,,,,,,,,,,,,,
6,Thale cress,Arabidopsis thaliana,Plantae,Angiosperm,Eudicots,Brassicales,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,Meta-analysis style as several species,heat,heat,Germination rate,LHT,,0.65,,,NA,0.23,,,NA,none,0.03,,0.01,,none,0.03,0.01,0.025,,0.01,,,,,,,,,,,,,,,,,
6,Common duckmeat,Spirodela polyrhiza,Plantae,Angiosperm,Monocots,Alismatales,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,Meta-analysis style as several species,heat,heat,Relative growth rate,LHT,,0.51,,,NA,0.63,,,NA,none,0.01,,0.01,,none,0.01,0.01,<0.01,,<0.01,,,,,,,,,,,,,,,,,
6,Common duckmeat,Spirodela polyrhiza,Plantae,Angiosperm,Monocots,Alismatales,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,Meta-analysis style as several species,heat,heat,Fronds/colony,Morphology,,0.52,,,NA,0.69,,,NA,none,0.03,,0.02,,none,0.03,0.02,1.79,,1.4,,,,,,,,,,,,,,,,,
6,Common duckmeat,Spirodela polyrhiza,Plantae,Angiosperm,Monocots,Alismatales,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,Meta-analysis style as several species,heat,heat,Area:weight ratio,Morphology,,0.73,,,NA,0.83,,,NA,none,0.02,,0.03,,none,0.02,0.03,8237.4,,13334.1,,,,,,,,,,,,,,,,,
6,Common duckmeat,Spirodela polyrhiza,Plantae,Angiosperm,Monocots,Alismatales,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,Meta-analysis style as several species,heat,heat,thiobarbituric acid-reactive substances,Physiology,,0.79,,,NA,0.74,,,NA,none,0.3,,0.09,,none,0.3,0.09,<0.01,,<0.01,,,,,,,,,,,,,,,,,
6,Common duckmeat,Spirodela polyrhiza,Plantae,Angiosperm,Monocots,Alismatales,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,Meta-analysis style as several species,heat,heat,anthocyanin content,Physiology,,0.74,,,NA,0.78,,,NA,none,1.01,,0.19,,none,1.01,0.19,0.01,,<0.01,,,,,,,,,,,,,,,,,
6,European beech,Fagus sylvatica,Plantae,Angiosperm,Eudicots,Fagales,temperature,Natural variation,between 15 and 75 families,animal model,narrow sense,Meta-analysis style as several species,heat,heat,Leaf area,Morphology,,0.64,,,NA,0.16,,,NA,none,0.08,,0.02,,none,0.08,0.02,13.5,,1.91,,,,,,,,,,,,,,,,,
6,European beech,Fagus sylvatica,Plantae,Angiosperm,Eudicots,Fagales,temperature,Natural variation,between 15 and 75 families,animal model,narrow sense,Meta-analysis style as several species,heat,heat,Specific leaf area,Morphology,,0.1,,,NA,0,,,NA,none,0,,0,,none,0,0,2.58,,0,,,,,,,,,,,,,,,,,
6,European beech,Fagus sylvatica,Plantae,Angiosperm,Eudicots,Fagales,temperature,Natural variation,between 15 and 75 families,animal model,narrow sense,Meta-analysis style as several species,heat,heat,Growth,LHT,,0.5,,,NA,0.45,,,NA,none,0.25,,0.99,,none,0.25,0.99,1.72,,1.29,,,,,,,,,,,,,,,,,
6,squinting bush brown,Bicyclus anynana,Aniimalia,Arthropoda,Insecta,Lepidoptera,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,Meta-analysis style as several species,heat,heat,Wing length,Morphology,,0.25,,,NA,0.14,,,NA,none,0,,0,,none,0,0,0.14,,0.17,,,,,,,,,,,,,,,,,
6,squinting bush brown,Bicyclus anynana,Aniimalia,Arthropoda,Insecta,Lepidoptera,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,Meta-analysis style as several species,heat,heat,Thorax mass,Morphology,,0.11,,,NA,0.17,,,NA,none,0,,0.01,,none,0,0.01,0,,0,,,,,,,,,,,,,,,,,
6,squinting bush brown,Bicyclus anynana,Aniimalia,Arthropoda,Insecta,Lepidoptera,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,Meta-analysis style as several species,heat,heat,Fat content,Physiology,,0.1,,,NA,0.12,,,NA,none,0.02,,0.05,,none,0.02,0.05,0,,0,,,,,,,,,,,,,,,,,
6,squinting bush brown,Bicyclus anynana,Aniimalia,Arthropoda,Insecta,Lepidoptera,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,Meta-analysis style as several species,heat,heat,Fecundity,LHT,,0.38,,,NA,0,,,NA,none,0.05,,0,,none,0.05,0,410.1,,0.01,,,,,,,,,,,,,,,,,
6,squinting bush brown,Bicyclus anynana,Aniimalia,Arthropoda,Insecta,Lepidoptera,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,Meta-analysis style as several species,heat,heat,Heat tolerance,Physiology,,0.04,,,NA,0.12,,,NA,none,0.01,,0.01,,none,0.01,0.01,27478.2,,60683.3,,,,,,,,,,,,,,,,,
6,Red flour beetle,Tribolium castaneum,Aniimalia,Arthropoda,Insecta,Coleoptera,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,Meta-analysis style as several species,heat,heat,Body length,Morphology,,0.1,,,NA,0.05,,,NA,none,0,,0,,none,0,0,0,,0,,,,,,,,,,,,,,,,,
6,Red flour beetle,Tribolium castaneum,Aniimalia,Arthropoda,Insecta,Coleoptera,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,Meta-analysis style as several species,heat,heat,Body mass,Morphology,,0.13,,,NA,0.14,,,NA,none,0,,0,,none,0,0,0,,0,,,,,,,,,,,,,,,,,
6,Red flour beetle,Tribolium castaneum,Aniimalia,Arthropoda,Insecta,Coleoptera,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,Meta-analysis style as several species,heat,heat,cold tolerance,Physiology,,0.15,,,NA,0.06,,,NA,none,0.03,,0.02,,none,0.03,0.02,13477.38,,21008.5,,,,,,,,,,,,,,,,,
6,Red flour beetle,Tribolium castaneum,Aniimalia,Arthropoda,Insecta,Coleoptera,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,Meta-analysis style as several species,heat,heat,heat tolerance,Physiology,,0,,,NA,0,,,NA,none,0,,0,,none,0,0,0.08,,0.02,,,,,,,,,,,,,,,,,
6,Red flour beetle,Tribolium castaneum,Aniimalia,Arthropoda,Insecta,Coleoptera,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,Meta-analysis style as several species,heat,heat,Fecundity,LHT,,0.05,,,NA,0.36,,,NA,none,0.01,,0.08,,none,0.01,0.08,47.85,,377.9,,,,,,,,,,,,,,,,,
6,Red spider mite,Tetranychus urticae,Aniimalia,Arthropoda,Arachnida,Trombidiformes,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,Meta-analysis style as several species,heat,heat,Body size,Morphology,,0.22,,,NA,0.18,,,NA,none,0,,0,,none,0,0,0,,0,,,,,,,,,,,,,,,,,
6,Red spider mite,Tetranychus urticae,Aniimalia,Arthropoda,Arachnida,Trombidiformes,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,Meta-analysis style as several species,heat,heat,Fecundity,LHT,,0.47,,,NA,0.43,,,NA,none,0.07,,0.17,,none,0.07,0.17,121.37,,57.95,,,,,,,,,,,,,,,,,
6,Red spider mite,Tetranychus urticae,Aniimalia,Arthropoda,Arachnida,Trombidiformes,temperature,Lab experiment,between 15 and 75 families,animal model,narrow sense,Meta-analysis style as several species,heat,heat,Heat tolerance,Physiology,,0,,,NA,0,,,NA,none,0,,0,,none,0,0,0,,0,,,,,,,,,,,,,,,,,
7,fruitfly,Drosophila melanogaster,Aniimalia,Arthropoda,Insecta,Diptera,temperature during development,Lab experiment,isogenic lines,SNPs based h?,narrow sense,"means from GLM, took 25 vs 29, but they also report 27?C",heat,heat,male fertility,LHT,se,0,0.25,,0.25,0,0.37,,0.37,,,,,,se,0,0,0,0.58,0,0.67,2.33,1.83,4.16,,0.2,,means from GLM,2020,11,,,,573,10.3389/fgene.2020.00573,,WOS:000543118100001
8,fungus,Neurospora crassa,Fungi,Ascomycota,Sordariomycetes,Sordariales,temperature,Lab experiment,controlled crossing of clones,"unclear, prbably among clones",broad sense,"6 temperatures from 20 to 40. They determine that 35 is optimal, so I took 35 and 40 (skipped the cold trt as in context of cc less likely)",heat,heat,growth rate,LHT,95% CI,0.89,[0.88; 0.91],0.03,0.007653061,0.63,[0.58; 0.67],0.09,0.022959184,95%CI,17.1,0.663265306,25.1,1.147959184,95%CI,17.1,25.1,0.5,0.035714286,0.34,0.028061224,,,,,,,0014-3820,2020,74,8,1772,1787,,10.1111/evo.14016,20-May,WOS:000536234800001
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,"H? not h?, mention their estimates are unreliable, several populations |AT",drought,drought, Flowering,LHT,se,0.5509648,0.1986036,,0.1986036,0.2820209,0.3057451,,0.3057451,,,,,,,,,,,,,,,,,,,0022-0477,2020,108,4,1465,1474,,10.1111/1365-2745.13365,20-Feb,WOS:000516857200001
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,BV,drought,drought, Flowering,LHT,se,0.8884837,0.1220594,,0.1220594,0.7965639,0.1490079,,0.1490079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,F,drought,drought, Flowering,LHT,se,0.1097835,1.000221,,1.000221,0.2716949,0.5758513,,0.5758513,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,G,drought,drought, Flowering,LHT,se,0.5038175,0.2688443,,0.2688443,0.4788032,0.3154199,,0.3154199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,LC,drought,drought, Flowering,LHT,se,0.6068402,0.2275024,,0.2275024,0.8381003,0.09209459,,0.09209459,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,ML,drought,drought, Flowering,LHT,se,0.5133765,0.2406814,,0.2406814,0.4256417,0.468243,,0.468243,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,PN,drought,drought, Flowering,LHT,se,0.5425538,0.2766828,,0.2766828,0.6608543,0.1722949,,0.1722949,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,SQ,drought,drought, Flowering,LHT,se,0.8011405,0.0888151,,0.0888151,0.7055354,0.1279277,,0.1279277,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,woodland strawberry,Fragaria vesca,Plantae,Angiosperm,Eudicots,Rosales,drought,Lab experiment,12 genotypes,variance among genotypes,broad sense,SX,drought,drought, Flowering,LHT,se,0,0.601867,,0.601867,0.1779537,0.4784052,,0.4784052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
